route_id,trip_id,service_id,direction_id,shape_id
15074,2095246,12,1,74283
15074,2095247,12,0,74282
15074,2095248,12,1,74283
15074,2095249,12,0,74282
15074,2095250,12,1,74283
15074,2095251,12,0,74282
15074,2095252,12,1,74283
15074,2095253,12,0,74282
15074,2095254,12,1,74283
15074,2095255,12,0,74282
15074,2095256,12,1,74283
15074,2095257,12,0,74282
15074,2095258,12,1,74283
15074,2095259,12,0,74282
15074,2095260,12,1,74283
15074,2095261,12,0,74282
15074,2095262,12,1,74283
15074,2095263,12,0,74282
15074,2095264,12,1,74283
15074,2095265,12,0,74282
15074,2095266,12,1,74283
15074,2095267,12,0,74282
15074,2095268,12,1,74283
15074,2095269,12,0,74282
15074,2095270,12,1,74283
15074,2095271,12,0,74282
15074,2095272,12,1,74283
15074,2095273,12,0,74282
15074,2095274,12,1,74283
15074,2095275,12,0,74282
15074,2095276,12,1,74283
15074,2095277,12,0,74282
15074,2095278,12,1,74283
15074,2095279,12,0,74282
15074,2095280,12,1,74283
15074,2095281,12,0,74282
15074,2095282,12,1,74283
15074,2095283,12,0,74282
15074,2095284,12,1,74283
15074,2095285,12,0,74282
15074,2095286,12,1,74283
15074,2095287,12,0,74282
15074,2095288,12,1,74283
15074,2095289,12,0,74282
15074,2095290,12,1,74283
15074,2095291,12,0,74282
15074,2095292,12,1,74283
15074,2095293,12,0,74282
15074,2095294,12,1,74283
15074,2095295,12,0,74282
15074,2095296,12,1,74283
15074,2095297,12,0,74282
15074,2095298,12,1,74283
15074,2095299,12,0,74282
15074,2095300,12,1,74283
15074,2095301,12,0,74282
15074,2095302,12,1,74283
15074,2095303,12,0,74282
15074,2095304,12,1,74283
15074,2095305,12,0,74282
15074,2095306,12,1,74283
15074,2095307,12,0,74282
15074,2095308,12,1,74283
15074,2095309,12,0,74282
15074,2095310,12,1,74283
15074,2095311,12,0,74282
15074,2095312,12,1,74283
15074,2095313,12,0,74282
15074,2095314,12,1,74283
15214,2095756,2,0,154162
15213,2096862,1,0,74185
15213,2096863,1,1,74186
15213,2096864,1,0,74185
15213,2096865,1,1,74186
15213,2096866,1,0,74185
15213,2096867,1,1,74186
15213,2096868,1,0,74185
15213,2096869,1,1,74186
15213,2096870,1,0,74187
15213,2096871,1,1,74186
15213,2096872,1,0,74185
15213,2096873,1,1,74186
15213,2096874,1,0,74185
15213,2096875,1,1,74186
15213,2096876,1,0,74185
15213,2096877,1,1,74186
15213,2096878,1,0,74187
15213,2096879,1,1,74186
15213,2096880,1,0,74185
15213,2096881,1,1,74188
15213,2096882,1,0,74185
15213,2096883,1,1,74186
15213,2096884,1,0,74185
15213,2096885,1,1,74186
15213,2096886,1,0,74187
15213,2096887,1,1,74186
15213,2096888,1,0,74185
15213,2096889,1,1,74188
15213,2096890,1,0,74187
15213,2096891,1,1,74186
15213,2096894,1,0,74185
15213,2096895,1,1,74188
15213,2096897,1,0,74187
15213,2096898,1,1,74186
15213,2096899,1,0,74185
15213,2096900,1,1,74188
15213,2096902,1,0,74187
15213,2096903,1,1,74186
15213,2096904,1,0,74185
15213,2096905,1,1,74188
15213,2096906,1,0,74187
15213,2096907,1,1,74186
15213,2096908,1,0,74187
15213,2096909,1,1,74188
15213,2096910,1,0,74187
15213,2096911,1,1,74186
15213,2096914,1,0,74187
15213,2096915,1,1,74188
15213,2096916,1,0,74185
15213,2096917,1,1,74186
15213,2096919,1,0,74187
15213,2096920,1,1,74186
15213,2096922,1,0,74185
15213,2096923,1,1,74188
15213,2096924,1,0,74185
15213,2096925,1,1,74188
15213,2096927,1,0,74187
15213,2096928,1,1,74186
15213,2096930,1,0,74185
15213,2096931,1,1,74188
15213,2096932,1,0,74185
15213,2096933,1,1,74186
15213,2096934,1,0,74185
15213,2096935,1,1,74186
15213,2096936,1,0,74187
15213,2096937,1,1,74186
15213,2096938,1,0,74185
15213,2096939,1,1,74188
15213,2096940,1,0,74185
15213,2096941,1,1,74188
15213,2096942,1,0,74185
15213,2096943,1,1,74186
15213,2096944,1,0,74187
15213,2096945,1,1,74186
15213,2096947,1,0,74185
15213,2096948,1,1,74188
15213,2096951,1,0,74187
15213,2096952,1,1,74186
15213,2096954,1,0,74185
15213,2096955,1,1,74188
15213,2096956,1,0,74187
15213,2096957,1,1,74186
15213,2096958,1,0,74185
15213,2096959,1,1,74188
15213,2096961,1,0,74187
15213,2096962,1,1,74186
15213,2096963,1,0,74185
15213,2096964,1,1,74188
15213,2096965,1,0,74185
15213,2096966,1,1,74186
15213,2096968,1,0,74185
15213,2096969,1,1,74188
15213,2096970,1,0,74185
15213,2096971,1,1,74188
15213,2096972,1,0,74185
15213,2096973,1,1,74186
15213,2096975,1,0,74185
15213,2096976,1,1,74186
15213,2096978,1,0,74185
15213,2096979,1,1,74186
15213,2096982,1,0,74185
15213,2096983,7,1,74186
19292,2101482,2,0,75360
19292,2101484,2,0,75360
19292,2101486,2,0,90097
19292,2101488,2,0,90097
19292,2101490,2,0,75360
19292,2101492,2,0,90097
19292,2101494,2,1,75362
19292,2101496,2,1,75362
19292,2101498,2,0,90097
19292,2101500,2,1,75362
19292,2101502,2,1,75362
19292,2101504,2,1,75362
19292,2101506,2,1,75362
19292,2101508,2,1,75362
19292,2101510,2,1,75362
19292,2101512,2,1,75362
19292,2101514,2,1,75362
19292,2101516,2,1,75362
19292,2101518,2,1,75362
19292,2101520,2,1,75362
19292,2101522,8,1,75362
15190,2101621,2,0,74201
15190,2101622,2,1,74202
15190,2101623,2,0,74201
15190,2101624,2,1,74202
15190,2101625,2,0,74201
15190,2101626,2,1,74202
15190,2101628,2,0,74201
15190,2101629,2,1,74202
15190,2101631,2,0,74201
15190,2101632,2,1,74202
15190,2101633,2,0,74201
15190,2101634,2,1,74202
15190,2101636,2,0,74201
15190,2101637,2,1,74202
15190,2101638,2,0,74201
15190,2101639,2,1,74202
15190,2101640,2,0,74201
15190,2101641,2,1,74202
15190,2101642,2,0,74201
15190,2101643,2,1,74202
15190,2101645,2,0,74201
15190,2101646,2,1,74202
15190,2101648,2,0,74201
15190,2101649,2,1,74202
15190,2101651,2,0,74201
15190,2101652,2,1,74202
15190,2101653,2,0,74201
